,評論標題,評論內容
64,講解清楚有趣,講解清楚有趣
65,滿不錯的課程,可以幫助有興趣做Kaggle 上的專案的人。
66,讚讚,學到機器學習的概念！
67,淺顯易懂,深入淺出的教學非常適合新手，也推薦很多書籍資源提供大家參考。希望未來能有更進階的課程！
68,讚讚~,讚讚讚讚讚讚~
69,python機器學習,"基本操作和概念都很詳細對於入門來說是很好的開始
也補充許多課外資料供我們參考"
70,這堂課惡補後我得到二面機會,"本人程式功力僅有初階，看完得到可以做完大公司的面試題
不管是數學還是程式都有清楚說明
真的是我心中的好課(泣泣)
"
71,適合非工程師背景的人,觀念講解非常清楚
72,對基礎觀念建立很有幫助,講解很清楚，也用心整理很多補充資料，讓有志學習者可再深化基礎。
73,推薦,"課程說明清晰明瞭，教材用心，若不夠清楚可在Medium閱讀文字，另外也提供其他書籍或是課程給需要更深入學習有一些方向
"
74,內容豐富深入淺出,適合有稍微碰過python想了解機器學習者
75,入門好課程,課程講解清晰易懂
76,適合初學者,容易入門
77,感謝老師開立這門課，受益良多,到處找各種書籍和ＡＩ相關的線上課成，這堂課是目前最適合我們這些完全不懂的外行人的課，非常開心能找到老師的課，受益良多。
78,適合初學者,老師課程只要花點時間去理解，就會覺得非常容易入門。
79,適合初學者,講解清晰 易懂易操作
80,適合入門的人,課程講解清晰易懂
81,很棒的內容,很棒的內容，很多的額外學習資料。
82,收穫很大,"對於入門的人來說是很好上手的課程
老師提供的相關資源也很多~"
83,課程說明得很詳細,課程說明得很詳細
84,適合練習實作,"如對實作沒經驗,很適合上這門課
如想學深入的理論知識,可考慮其他課程
上課遇到問題可在fb社團發問,講師會回復"
85,很棒,學到很多技巧 很直得
86,深入淺出的教學,這個課程提供入門者很清楚的邏輯，也分享很多後續繼續學習的資源
87,很棒的基礎機器學習課程,"對於新手來說, 是一個非常棒的課程體驗, 雖然還希望能針對更多的模型做講解
但其實已經非常好了
感謝~~"
88,讚,老師口條清晰，講的也很好!
89,Python 資料分析＆機器學習入門心得,深入淺出的講解，對於想要一探 資料分析＆機器學習 的學習者來說，不外乎是最好的入門課
90,評語,適合初階學員
91,很棒的機器學習入門課,算是 data science 的入門課，我覺得側重在資料處理的部分相當不錯，很多其他的課程都著重在很 fancy 的模型，卻忽略一些重要的基本功。我覺得這門課可以練練 Python、學一些入門，接著再去學 Coursera 的機器學期跟深度學習，這樣的學習曲線較平緩。
92,Python 資料分析＆機器學習入門,講解清楚~
93,物超所值,"內容含金量極高，適合初新者，對於抽象的機器學習模型舉非常好的例子幫助理解，當然若有一點 coding, ml 基礎能夠吸收的會更多，感謝老師的用心。 "
94,Python資料分析&機器學習課程上課心得,"1.老師教的蠻好的！──內容充實，大部分講解清晰，學費不只「值回票價」──應該是物超所值！
2.「Python 資料分析＆機器學習入門」我學了一年左右，程式方面自學3 年了，學的有些慢！希望成為程式設計師！年近50，希望越來越...!
3. 老師介紹的書，如：python + Spark 2.0 + Hadoop ...，，我買了幾本，對我而言 ，不太理想，我光安裝 multi node 就花了一個月，而且還沒裝好，NodeManager 未啟動！
4. 老師在百忙中回答了我幾個問題，謝謝您！
5.可以上coursera 或 udemy 的課程，多比較判斷，找出適合自己的學習目標和方式（本人由C#改學Python，多花了約一年的時間！）
6.「獨學而無友，孤漏而寡聞。」

光鍵 敬上"
95,非常棒,深入淺出，言之有物。
96,不錯~適合剛入門學習的小白,提供很多資源，讓新手不致於在機器學習路上不知所措
97,內容充實,課程內容說明祥細
98,評價,"對於剛入門的學習者有幫助
"
99,Python 資料分析＆機器學習入門,若想大概了解Python運用以及機器學習，此門課程可提供相關資源及概念。
100,脈絡已及舉例很實用 ,快速瞭解機器學習框架
101,適合新手入門,講解的詳細好懂，也有助於對這個領域有更近一步的瞭解，但須先了解一些Python的基礎知識。
102,OK,   還行，有些專有名詞須先了解
103,淺顯易懂的課程內容，讓閱者逐步掌握Python,"隨著資料分析趨勢盛行，即便工作或生活領域不會接觸到程式語言，能了解基本的資料分析方式仍增加每個人在職場的競爭力，和公司內部相關部門同事溝通時，也較容易達到溝通目的與效果。

老師的講解清晰易懂，不過影片的方式難免於同步實作時發生一些困難（除非有兩個螢幕XD）。我的工作經常需要與Data Scientists溝通，雖然不用了解如何寫任何程式，在上課過程中經常有「哇～原來當初他說的是這個意思」或「原來當初他的圖表是這麼做出來的」的想法。

一步一步跟著James的腳步看Python，讓我有信心在多加嘗試後，領悟Python的要領，相信未來和Data Scientists溝通時能更有效率，並創造更大的附加價值。"
104,推薦,課程目標清楚，內容解釋有條理清楚
105,課程架構清楚易懂,很清楚又適合有興趣的人快速了解這個領域
106,教學仔細、清楚明瞭,感謝老師的教學，內容仔細，清楚明瞭
107,相當適合初學者,本課程可以大致了解機器學習作業的整個流程跟工作內容，也提供了一些可以延伸閱讀學習的資源，是蠻有收穫的，不過真的要能實用還需要自身花費時間鑽研練習
108,兼顧入門新手及進階應用,課程的設計是循序漸進且由淺至深，讓學員可以自己視程度，搭配老師的課程講義一步一步實際演練學習！
109,很棒的教學,淺顯易懂的教學，很適合新手聽課
110,適合初學者,"適合初學者入門的第一堂課，透過老師的帶領，可以了解基礎套件的使用方法，也提供了許多延伸閱讀及參考的連結，
必須自己再深入學習及持續練習，才能學以致用。"
111,讚,謝謝老師的解說
112,課程簡單易懂,能了解到大數據工程師工作的流程，但每個環節都必須要在近一步去了解。
113,搭配medium服用,搭配medium服用效果好
114,不錯,"滿適合入門的 而且有網站可以參考
算是機器學習線上課程的第一首選"
115,不適合新手,雖然我明白基本python函數，但許多標準庫的函數仍相當陌生，講師在說明指令時都是一段一段粗略說明，讓我很難跟上進度
116,講解清楚,依照老師的步驟，一步一步進行，對此領域的了解是一個開端，我覺得最重要的還是要自己不斷練習和去閱讀老師建議的延伸閱讀資料
117,新手入門的好課程,課程內容很仔細也有文字檔可以慢慢看
118,Python 資料分析＆機器學習入門,實用
119,適合入門者學習,主要的幾個機器學習模型都有用心講解，也有搭配程式碼示範，滿容易了解。另外在Medium上面也有提供完整課程內容可以複習，非常貼心！
120,講的很好,講的很好
121,Python 資料分析,深入淺出
122,感謝老師整理這麼好的課程,"課程難度安排適合我, 非常感謝"
123,非常棒的入門,感謝老師帶領我進入這領域^__^
124,感謝老師用心的製作課程,感謝老師用心的製作課程，讓我對機器學習有初步的認識!
125,謝謝James領入門,之後也會看書慢慢充實的。
126,適合對機器學習入門者的課程,將機器學習大致上的介紹，對於像我這樣的初學者而言，是個適合的機器學習入門者課程
127,很適合入門機器學習,適合入門機器學習，再搭配其他書籍或課程自己進修學習，並參加老師提的Kaggle網站去看文章與比賽，能更加精進自己資料分析與預測的能力，收穫很多
128,關於此課程,對於初學者入門很有幫助
129,good ,good course
130,適合入門也適合有點基礎的人確定接下來的學習方向,教得很清楚
131,很適合入門熟習機器學習實做的一堂課,學習到了很多東西
132,完整詮釋機器學習的教學影片,課程搭配部落格的方式提供完整的資源給學生選擇學習，如果只是想對機器學習初步認識，大致看過影片就能了解內容；如果想學機器學習實戰能力，也能透過老師講解及部落格的程式碼逐步學習，是堂令人獲益良多的課程！
133,深入淺出,老師講解詳細
134,很好的入門課程,"對於新手來說，是個很棒的課程
觀念解釋得很好"
135,深入淺出 ,老師用案例說明，學得非常快
136,適合初學者,講解非常的清楚，直接帶初學者學習Kaggle實戰
137,觀念解說很容易懂,觀念解說很容易懂
138,老師好認真,老師提供很多工具 對於新手也不會有不容易理解的地方
139,解說很清楚易懂,觀念解說很容易懂，也有筆記文章方便重點回顧！
140,介紹非常多工具與實用建議,"介紹很多工具的使用，也帶著學生一起走過很多課程，推薦～
Medium 上面都可以重溫上課內容也很方便！"
141,對初學者有用的好課程,老師認真讚
142,幫助新手跨出機器學習的第一步,"雖然機器學習還有很多東西沒被提及, 但此課程能快速給予新手了解機器學習的面貌, 對於初探機器學習的同學很有幫助!"
143,非常詳細教學的,非常詳細教學的
144,輕鬆的入門課程,這是一個很可以輕鬆上課的入門課程，對於想要踏入這個領域的人可以有個初步的認知～
145,好課推薦!,很實用，講解也很清楚!
146,實用性不錯,"我上過吳恩達開設的deep learning才來的，這門課在實戰方面有不錯的介紹，讓我補充了一些實戰工具例如pandas,sns等工具的使用方法，雖然關於理論的部分都沒有太詳細，但是課程時數也不多，可以比較快的入門Kaggle或者實際面的一些分析
作為機器學習第一堂課的話建議去上林軒田或吳恩達的，回頭再來這邊接觸一些實務應用的部分"
147,適合初學者入門學習 ,老師講解非常的清楚，直接帶入Kaggle實戰是一大特色
148,希望老師還可以再上新的東西,"老師很專業 
讓乏味的資料科學變的津津有味
希望老師可以開進階的資料分析或機器學習課程"
149,講師很專業,看完了整套課程，也開啟我的kaggle競賽之路。希望講師能再開設其他的實作課程！
150,非常適合入門的課程，由淺入深，觀念解說清楚,非常適合入門的課程，由淺入深，觀念解說清楚
151,收穫良多！,收穫良多！
152,非常豐富的上課內容,Good
153,深入淺出，重視實作,非常適合入門的課程，由淺入深，觀念解說清楚，沒有多餘冗長的內容，值得推薦！
154,講解非常清楚,獲益良多
155,Very Gooo!!!!,"非常詳細實用的課程！
適合已經有一些python底子 但又不了解機器學習的初學者＾＾
大推！"
156,適合初學者入門學習,老師講解非常的清楚， 教材豐富且可在medium直接看。
157,老師教得很棒!,老師教得很棒，只是自己吸收有限^^，還要再加油!
158,受益良多,由淺入深，受益良多。
159,推薦,"雖然課程的講述我覺得有點快,但是有詳細的教材文章輔助"
160,課程深入淺出，感受到老師的專業！,課程深入淺出，很能夠感受到老師的專業，討論區部分老師也很耐心回覆，謝謝老師！
161,很棒的課程,很棒的課程
162,老師講的很仔細,老師講的很仔細
163,觀念清楚,CNN觀念清楚帶實作
164,深入淺出，讚!,深入淺出，很適合初中階學習者。
165,淺顯易懂又兼實戰內容的好課程,"對基礎的機器學習是很好入門的課，再搭配Kaggle實作課程，更可了解實務是怎麼應用，
課程內容與概念又講得淺顯易懂，非常好吸收！"
166,"James, 讚！希望老師在開進階的課！","講得內容淺顯易懂, medium上發布的內容非常適合複習！"
167,對新手很友善的課,內容清楚，對初學者很有幫助
168,淺顯易懂的入門課程,只要有一些程式跟基本的高中數學基礎，就可以透過這門課程快速進入機器學習領域，非常推薦
169,講解清楚,很棒的課程，cp值很高
170,非常適合初學者入門學習,"老師講解非常的清楚，
教材豐富且可在medium直接看。"
171,難易適中，很適合入門,老師講解的很詳細，也有很多課外的補充資料與書籍可以參考，對於想要入門機器學習與資料分析真的是幫助很大。
172,課程內容還不錯，很適合入門,上完以後，對機器學習有一些基本的認識，還不錯的一堂課。
173,It is really helpful!,Real examples with hand on experience.
174,門路資源多,入門概念講解清晰，並提供許多門路給想更進一步深造的人
175,講解清楚,對初學者來說，真的學習到很多。
176,非常容易懂的課程,內容淺顯易懂，在老師在medium上所發布的內容非常方便用來複習，歡迎初學者可以來這學習唷。
177,非常適合初學者入門學習！,"老師用淺顯易懂的方式講解資料分析的基礎技巧, 很有效的幫助初學者快速了解資料分析的概念！"
178,教材很棒,覺得教材寫在medium上面很不錯，很詳細也方便複習，內容也很適合入門機器學習這個領域
179,容易入門又不失深度的好課,老師從基本的語法到實際用kaggle題目來講解都非常的清晰。學程式語言就是要有入門的好教材以外，還要有更多時間去自學才能學好。這堂課會是很好的python資料分析入門！
180,作為入門是非常棒的課程,"講到很多很重要的東西，運用套件可以快速的上手
也有提到非常多實用的觀念！"
181,內容充實,可以學到很多!
182,作為入門很不錯,以入門來說，內容很棒，能的話希望能做個更進階，會在工作上運用到的例子，並做個詳解
183,課程扎實且符合預期,James老師很仔細地從淺到深逐漸帶入，也介紹幾個很實用演算法和實作過程，若有問題老師也相當積極的了解與協助。
184,深入淺出,不錯的課程!
185,不錯阿,很好玩
186,入門推薦,從無到有，可以完整建立觀念和實戰
187,Good,是我所期望的課程內容
188,實用的課程,"老師上課非常用心,講義也寫得很詳細,非常實用"
189,實用的課程,對於初次寫程式或第一次踏入Python及資料分析領域的人，這是一堂不錯的課程，透過教學一步一步理解怎麼做，並且也有線上的講義可參考。
190,老師上得很好!!,老師上得很好!!
191,減少很多的入門摸索時間,"老師很用心，如果有問題都可以留言，老師也會盡力回答
課程內容講解的滿清楚的，可以減少很多入門的摸索時間"
192,講解詳細,推!  老師講解的很詳細
193,講解的很清楚,課程很清楚易懂，有問題老師也都很快的回覆～～ 覺得讚！
194,很實用的課程,老師教得很好呦
195,內容充實,老師親切、和學員有互動
196,內容實用,"介紹了幾個機器學習經典的演算法和實作內容
課堂上舉出的例子也很能夠實際幫助我，加深對內容的了解"
197,實用,課程由淺入深且精要，減少摸索期的不適。
198,很受用的課程,"收穫很多,老師也很即時的在FB社團回復學員的問題"
199,優秀的講解和說明,"老師的課程講解非常詳細 
實際上如果遇到問題可以以透過社群聯絡老師協助
希望可以有更多關於實務上應用的Part
謝謝"
200,課堂評價,認真教學的老師！
201,讚,老師很用心
